Rank,Player Name,Position,College,Year,Height ,Weight,40 Time,PFF,NFL Draft Buzz,PFN,TANKATHON,Mel Kiper,Field Yates,Matt Miller,Daniel Jeremiah,Charlie Campbell,Average,Remarks
8,Jeremiyah Love,RB,Notre Dame,Junior,6'0,214,4.4,4,3,5,8,2,5,1,,1,,
1,Fernando Mendoza,QB,Indiana,Junior,6'5,225,4.85,2,4,6,4,1,1,5,,2,,
7,David Bailey,EDGE,Texas Tech,Senior,6'3,250,4.52,6,11,12,7,5,4,14,,3,,
6,Caleb Downs,S,Ohio State,Junior,6'0,205,4.45,1,2,1,3,6,3,2,,4,,
2,Arvell Reese,LB,Ohio State,Junior,6'4,243,4.52,3,7,2,1,4,2,3,,5,,
20,Ty Simpson,QB,Alabama,Junior,6'2,208,4.8,34,15,23,22,21,,9,,6,,
5,Jordyn Tyson,WR,Arizona State,Junior,6'2,200,4.5,7,12,9,6,9,6,12,,7,,
9,Keldric Faulk,EDGE,Auburn,Junior,6'6,285,4.74,13,6,16,9,13,12,15,,8,,
12,Jermod McCoy,CB,Tennessee,Junior,6'0,193,4.52,12,9,14,13,14,14,10,,9,,
15,Kenyon Sadiq,TE,Oregon,Junior,6'3,245,4.55,24,17,13,15,12,16,11,,10,,
11,Mansoor Delane,CB,LSU,Senior,6'0,190,4.44,14,8,11,11,17,11,7,,11,,
19,Denzel Boston,WR,Washington,Junior,6'4,209,4.52,20,18,27,18,20,17,19,,12,,
25,Brandon Cisse,CB,South Carolina,Junior,6'0,190,4.35,32,38,37,24,,,20,,13,,
46,Zion Young,EDGE,Missouri,Senior,6'5,262,4.76,47,44,72,45,,,23,,14,,
3,Rueben Bain,EDGE,Miami (FL), Junior,6'3,275,4.72,5,1,3,2,7,13,4,,15,,
14,Sonny Styles,LB,Ohio State,Senior,6'4,243,4.48,10,32,7,14,8,8,17,,16,,
4,Carnell Tate,WR,Ohio State,Junior,6'3,195,4.6,8,10,4,5,3,7,6,,17,,
33,Chris Bell,WR,Louisville,Senior,6'2,220,4.44,36,26,35,33,,,29,,18,,
10,Peter Woods,DL,Clemson,Junior,6'3,315,4.75,9,5,10,10,16,10,8,,19,,
31,R Mason Thomas,EDGE,Oklahoma,Senior,6'2,249,4.62,37,20,31,29,,,,,20,,
16,Avieon Terrell,CB,Clemson,Junior,5'11,180,4.39,18,16,15,16,,20,22,,21,,
21,Kevin Concepcion,WR,Texas A&M,Junior,5'11,190,4.46,26,29,20,20,,,31,,22,,
18,Cashius Howell,EDGE,Texas A&M,Senior,6'4,248,4.65,15,19,39,19,,15,38,,23,,
78,Harold Perkins,LB,LSU,Junior,6'1,222,4.45,143,81,108,87,,,,,24,,
23,C.J. Allen,LB,Georgia,Junior,6'2,235,4.55,28,33,22,21,18,18,13,,25,,
24,Caleb Banks,DL,Florida,Senior,6'6,330,5.2,16,23,18,25,,,,,26,,
68,Jadarian Price,RB,Notre Dame,Junior,5'11,209,4.44,61,52,101,64,,,36,,27,,
76,Malachi Fields,WR,Notre Dame,Senior,6'4,223,4.5,100,65,145,89,,,,,28,,
74,Will Lee III,CB,Texas A&M,Senior,6'1,189,4.55,105,51,57,72,,,,,29,,
48,Kamari Ramsey,S,USC,Junior,6'0,205,4.52,55,34,34,48,,,32,,30,,
30,Akheem Mesidor,EDGE,Miami (FL),Senior,6'3,280,4.9,33,53,47,27,11,19,,,31,,
13,Makai Lemon,WR,USC,Junior,5'11,195,4.48,11,13,8,12,10,9,16,,32,,
67,Gabe Jacas,EDGE,Illinois,Senior ,6'3,275,4.8,39,79,,56,,,,,33,,
82,Derrick Moore,EDGE,Michigan,Senior,6'3,260,4.65,77,85,59,82,,,,,34,,
37,Dillon Thieneman,S,Oregon,Junior,6'0,205,4.35,49,37,51,37,,,,,35,,
28,Anthony Hill Jr.,LB,Texas,Junior,6'3,238,4.5,46,27,48,30,,,25,,36,,
53,D'angelo Ponds,CB,Indiana,Junior,5'9,170,4.35,58,90,32,46,,,,,37,,
44,Germie Bernard,WR,Alabama,Senior,6'1,204,4.52,40,45,61,35,,,18,,38,,
50,Ja'Kobi Lane,WR,USC,Junior,6'4,200,4.55,70,57,60,47,,,,,39,,
403,Jaylon Guilbeau,CB,Texas,Senior,6'0,183,,310,,,,,,,,40,,
70,Antonio Williams,WR,Clemson,Junior,5'11,190,4.45,97,47,86,60,,,,,41,,
98,Domani Jackson,CB,Alabama,Senior,6'1,196,4.28,187,115,147,99,,,,,42,,
38,Garrett Nussmeier,QB,LSU,Senior,6'1,205,4.82,83,43,140,75,,,,,43,,
49,Dani Dennis-Sutton,EDGE,Penn State,Senior,6'5,265,4.68,92,42,118,51,,,,,44,,
148,Aaron Anderson,WR,LSU,Junior,5'8,188,4.34,142,126,103,130,,,,,45,,
29,Romello Height,EDGE,Texas Tech,Junior,6'3,240,4.7,56,28,74,31,,,,,46,,
84,Darrell Jackson Jr.,DL,Florida State,Senior,6'5,337,5.05,88,73,69,71,,,,,47,,
93,Nick Singleton,RB,Penn State,Senior,6'0,224,4.39,,74,143,76,,,,,48,,
60,Max Klare,TE,Ohio State,Junior,6'5,243,4.7,71,50,28,55,,,,,49,,
101,Kyle Louis,LB,Pittsburgh,Junior,6'1,220,4.65,180,116,,132,,,,,50,,
116,Demond Claiborne,RB,Wake Forest,Senior ,5'10,195,4.42,124,101,83,109,,,,,51,,
113,DeMonte Capehart,DL,Clemson,Senior,6'5,313,4.75,165,109,,135,,,,,52,,
100,Deion Burks,WR,Oklahoma,Senior,5'9,188,4.43,90,89,119,79,,,,,53,,
115,Eli Raridon,TE,Notre Dame,Senior,6'7,251,4.78,,102,75,94,,,,,54,,
395,Jalon Kilgore,CB,South Carolina,Junior,6'1,211,,132,,,,,,,,55,,
80,Carson Beck,QB,Miami (FL),Senior,6'4,220,4.84,83,66,139,78,,,,,56,,
102,Tyreak Sapp,EDGE,Florida,Junior,6'3,272,4.76,101,87,88,90,,,,,57,,
153,John Michael Gyllenborg,TE,Wyoming,Senior,6'5,251,,160,,171,127,,,,,58,,
77,Drew Allar,QB,Penn State,Senior,6'5,235,4.9,122,110,165,98,,,,,59,,
