Rank,Player Name,Position,College
1,Fernando Mendoza,QB,Indiana
2,Arvell Reese,LB,Ohio State
3,Rueben Bain,EDGE,Miami (FL)
4,Francis Mauigoa,OT,Miami (FL)
5,Carnell Tate,WR,Ohio State
6,Spencer Fano,OT,Utah
7,Caleb Downs,S,Ohio State
8,David Bailey,EDGE,Texas Tech
9,Jordyn Tyson,WR,Arizona State
10,Jeremiyah Love,RB,Notre Dame
11,Mansoor Delane,CB,LSU
12,Sonny Styles,LB,Ohio State
13,Keldric Faulk,EDGE,Auburn
14,Peter Woods,DL,Clemson
15,Jermod McCoy,CB,Tennessee
16,Makai Lemon,WR,USC
17,Ty Simpson,QB,Alabama
18,Kenyon Sadiq,TE,Oregon
19,Olaivavega Ioane,IOL,Penn State
20,Kadyn Proctor,OT,Alabama
21,Avieon Terrell,CB,Clemson
22,Cashius Howell,EDGE,Texas A&M
23,Kayden McDonald,DL,Ohio State
24,Caleb Lomu,OT,Utah
25,Denzel Boston,WR,Washington
26,Kevin Concepcion,WR,Texas A&M
27,C.J. Allen,LB,Georgia
28,T.J. Parker,EDGE,Clemson
29,Caleb Banks,DL,Florida
30,Akheem Mesidor,EDGE,Miami (FL)
31,Brandon Cisse,CB,South Carolina
32,Monroe Freeling,OT,Georgia
33,Colton Hood,CB,Tennessee
34,Emmanuel Pregnon,IOL,Oregon
35,Anthony Hill Jr.,LB,Texas
36,Christen Miller,DL,Georgia
37,Emmanuel McNeil-Warren,S,Toledo
38,Gennings Dunker,OT,Iowa
39,Zachariah Branch,WR,Georgia
40,R Mason Thomas,EDGE,Oklahoma
41,Chris Johnson,CB,San Diego State
42,Lee Hunter,DL,Texas Tech
43,Dillon Thieneman,S,Oregon
44,Keith Abney II,CB,Arizona State
45,Romello Height,EDGE,Texas Tech
46,Chris Brazzell,WR,Tennessee
47,Chris Bell,WR,Louisville
48,Trinidad Chambliss,QB,Mississippi
49,Blake Miller,OT,Clemson
50,Zion Young,EDGE,Missouri
