player_id,source,rank,weight
1,PFF,1,1.2
1,NFL Draft Buzz,2,0.9
1,PFN,1,0.9
1,TANKATHON,3,0.9
1,Mel Kiper,6,1.1
1,Field Yates,3,1
1,Matt Miller,2,1
1,Charlie Campbell,4,1
2,PFF,2,1.2
2,NFL Draft Buzz,4,0.9
2,PFN,6,0.9
2,TANKATHON,4,0.9
2,Mel Kiper,1,1.1
2,Field Yates,1,1
2,Matt Miller,5,1
2,Charlie Campbell,2,1
3,PFF,3,1.2
3,NFL Draft Buzz,7,0.9
3,PFN,2,0.9
3,TANKATHON,1,0.9
3,Mel Kiper,4,1.1
3,Field Yates,2,1
3,Matt Miller,3,1
3,Charlie Campbell,5,1
4,PFF,4,1.2
4,NFL Draft Buzz,3,0.9
4,PFN,5,0.9
4,TANKATHON,8,0.9
4,Mel Kiper,2,1.1
4,Field Yates,5,1
4,Matt Miller,1,1
4,Charlie Campbell,1,1
5,PFF,5,1.2
5,NFL Draft Buzz,1,0.9
5,PFN,3,0.9
5,TANKATHON,2,0.9
5,Mel Kiper,7,1.1
5,Field Yates,13,1
5,Matt Miller,4,1
5,Charlie Campbell,15,1
6,PFF,8,1.2
6,NFL Draft Buzz,10,0.9
6,PFN,4,0.9
6,TANKATHON,5,0.9
6,Mel Kiper,3,1.1
6,Field Yates,7,1
6,Matt Miller,6,1
6,Charlie Campbell,17,1
7,PFF,6,1.2
7,NFL Draft Buzz,11,0.9
7,PFN,12,0.9
7,TANKATHON,7,0.9
7,Mel Kiper,5,1.1
7,Field Yates,4,1
7,Matt Miller,14,1
7,Charlie Campbell,3,1
8,PFF,7,1.2
8,NFL Draft Buzz,12,0.9
8,PFN,9,0.9
8,TANKATHON,6,0.9
8,Mel Kiper,9,1.1
8,Field Yates,6,1
8,Matt Miller,12,1
8,Charlie Campbell,7,1
9,PFF,9,1.2
9,NFL Draft Buzz,5,0.9
9,PFN,10,0.9
9,TANKATHON,10,0.9
9,Mel Kiper,16,1.1
9,Field Yates,10,1
9,Matt Miller,8,1
9,Charlie Campbell,19,1
10,PFF,14,1.2
10,NFL Draft Buzz,8,0.9
10,PFN,11,0.9
10,TANKATHON,11,0.9
10,Mel Kiper,17,1.1
10,Field Yates,11,1
10,Matt Miller,7,1
10,Charlie Campbell,11,1
11,PFF,13,1.2
11,NFL Draft Buzz,6,0.9
11,PFN,16,0.9
11,TANKATHON,9,0.9
11,Mel Kiper,13,1.1
11,Field Yates,12,1
11,Matt Miller,15,1
11,Charlie Campbell,8,1
12,PFF,12,1.2
12,NFL Draft Buzz,9,0.9
12,PFN,14,0.9
12,TANKATHON,13,0.9
12,Mel Kiper,14,1.1
12,Field Yates,14,1
12,Matt Miller,10,1
12,Charlie Campbell,9,1
13,PFF,11,1.2
13,NFL Draft Buzz,13,0.9
13,PFN,8,0.9
13,TANKATHON,12,0.9
13,Mel Kiper,10,1.1
13,Field Yates,9,1
13,Matt Miller,16,1
13,Charlie Campbell,32,1
14,PFF,10,1.2
14,NFL Draft Buzz,32,0.9
14,PFN,7,0.9
14,TANKATHON,14,0.9
14,Mel Kiper,8,1.1
14,Field Yates,8,1
14,Matt Miller,17,1
14,Charlie Campbell,16,1
15,PFF,24,1.2
15,NFL Draft Buzz,17,0.9
15,PFN,13,0.9
15,TANKATHON,15,0.9
15,Mel Kiper,12,1.1
15,Field Yates,16,1
15,Matt Miller,11,1
15,Charlie Campbell,10,1
16,PFF,34,1.2
16,NFL Draft Buzz,15,0.9
16,PFN,23,0.9
16,TANKATHON,22,0.9
16,Mel Kiper,21,1.1
16,Matt Miller,9,1
16,Charlie Campbell,6,1
17,PFF,18,1.2
17,NFL Draft Buzz,16,0.9
17,PFN,15,0.9
17,TANKATHON,16,0.9
17,Field Yates,20,1
17,Matt Miller,22,1
17,Charlie Campbell,21,1
18,PFF,20,1.2
18,NFL Draft Buzz,18,0.9
18,PFN,27,0.9
18,TANKATHON,18,0.9
18,Mel Kiper,20,1.1
18,Field Yates,17,1
18,Matt Miller,19,1
18,Charlie Campbell,12,1
19,PFF,21,1.2
19,NFL Draft Buzz,21,0.9
19,PFN,17,0.9
19,TANKATHON,17,0.9
19,Mel Kiper,15,1.1
19,Matt Miller,26,1
20,PFF,28,1.2
20,NFL Draft Buzz,33,0.9
20,PFN,22,0.9
20,TANKATHON,21,0.9
20,Mel Kiper,18,1.1
20,Field Yates,18,1
20,Matt Miller,13,1
20,Charlie Campbell,25,1
21,PFF,16,1.2
21,NFL Draft Buzz,23,0.9
21,PFN,18,0.9
21,TANKATHON,25,0.9
21,Charlie Campbell,26,1
22,PFF,15,1.2
22,NFL Draft Buzz,19,0.9
22,PFN,39,0.9
22,TANKATHON,19,0.9
22,Field Yates,15,1
22,Matt Miller,38,1
22,Charlie Campbell,23,1
23,PFF,26,1.2
23,NFL Draft Buzz,29,0.9
23,PFN,20,0.9
23,TANKATHON,20,0.9
23,Matt Miller,31,1
23,Charlie Campbell,22,1
24,PFF,29,1.2
24,NFL Draft Buzz,25,0.9
24,PFN,24,0.9
24,TANKATHON,26,0.9
24,Matt Miller,21,1
25,PFF,37,1.2
25,NFL Draft Buzz,20,0.9
25,PFN,31,0.9
25,TANKATHON,29,0.9
25,Charlie Campbell,20,1
26,PFF,23,1.2
26,NFL Draft Buzz,14,0.9
26,PFN,21,0.9
26,TANKATHON,23,0.9
26,Matt Miller,24,1
26,Charlie Campbell,61,1
27,PFF,32,1.2
27,NFL Draft Buzz,38,0.9
27,PFN,37,0.9
27,TANKATHON,24,0.9
27,Matt Miller,20,1
27,Charlie Campbell,13,1
28,PFF,30,1.2
28,NFL Draft Buzz,22,0.9
28,PFN,25,0.9
28,TANKATHON,28,0.9
28,Matt Miller,34,1
29,PFF,36,1.2
29,NFL Draft Buzz,26,0.9
29,PFN,35,0.9
29,TANKATHON,33,0.9
29,Matt Miller,29,1
29,Charlie Campbell,18,1
30,PFF,33,1.2
30,NFL Draft Buzz,53,0.9
30,PFN,47,0.9
30,TANKATHON,27,0.9
30,Mel Kiper,11,1.1
30,Field Yates,19,1
30,Charlie Campbell,31,1
31,PFF,35,1.2
31,NFL Draft Buzz,39,0.9
31,PFN,19,0.9
31,TANKATHON,36,0.9
32,PFF,46,1.2
32,NFL Draft Buzz,27,0.9
32,PFN,48,0.9
32,TANKATHON,30,0.9
32,Matt Miller,25,1
32,Charlie Campbell,36,1
33,PFF,43,1.2
33,NFL Draft Buzz,41,0.9
33,PFN,26,0.9
33,TANKATHON,32,0.9
34,PFF,55,1.2
34,NFL Draft Buzz,34,0.9
34,PFN,34,0.9
34,TANKATHON,48,0.9
34,Matt Miller,32,1
34,Charlie Campbell,30,1
35,PFF,52,1.2
35,NFL Draft Buzz,40,0.9
35,PFN,42,0.9
35,TANKATHON,34,0.9
35,Matt Miller,27,1
36,PFF,40,1.2
36,NFL Draft Buzz,45,0.9
36,PFN,61,0.9
36,TANKATHON,35,0.9
36,Matt Miller,18,1
36,Charlie Campbell,38,1
37,PFF,47,1.2
37,NFL Draft Buzz,44,0.9
37,PFN,72,0.9
