Rank,Player Name,Position,Year,Athletic, Bleacher Report,CBS,Drafttech,ESPN,PFF,PFN,SIS,TANKATHON,,
1,Arvell Reese,LB,JR.,1,6,5,4,2,3,2,4,1,,
2,Caleb Downs,S,JR.,4,1,7,2,5,5,1,3,3,,
3,Rueben Bain Jr.,ED,JR.,9,2,2,3,6,2,3,6,2,,
4,Fernando Mendoza,QB,RS JR.,2,4,1,1,1,1,6,26,4,,
5,Jeremiyah Love,RB,JR.,3,3,10,7,3,6,5,1,9,,
6,David Bailey,ED,SR.,6,8,16,12,4,4,14,2,5,,
7,Carnell Tate,WR,JR.,10,11,4,9,11,8,4,10,7,,
8,Jordyn Tyson,WR,RS JR.,12,9,3,14,9,7,9,9,10,,
9,Sonny Styles,LB,SR.,5,14,11,21,10,9,7,7,13,,
10,Mansoor Delane,CB,SR.,7,5,24,13,16,13,12,8,11,,
11,Makai Lemon,WR,JR.,14,12,18,10,15,10,8,27,12,,
12,Jermod McCoy,CB,JR.,16,7,9,8,20,11,17,44,14,,
13,Keldric Faulk,ED,JR.,15,21,13,11,12,16,19,30,15,,
14,Avieon Terrell,CB,JR.,18,18,12,16,22,19,18,13,21,,
15,Kenyon Sadiq,TE,JR.,20,16,22,27,13,24,16,28,17,,
16,Denzel Boston,WR,JR.,25,32,37,18,24,20,35,16,19,,
17,T.J. Parker,ED,JR.,36,23,17,19,36,23,27,29,28,,
18,Cashius Howell,ED,SR.,29,22,32,17,26,15,47,35,20,,
19,CJ Allen,LB,JR.,32,33,34,25,27,28,28,21,24,,
20,Kevin Concepcion,WR,JR.,22,17,21,32,38,26,25,48,26,,
21,Akheem Mesidor,ED,RS SR.,19,30,42,31,18,32,57,20,31,,
22,Emmanuel McNeil-Warren,S,SR.,31,19,29,33,44,34,43,23,34,,
23,Ty Simpson,QB,JR.,34,28,33,28,21,33,30,64,27,,
24,Brandon Cisse,CB,JR.,41,50,45,36,30,31,23,17,30,,
25,Colton Hood,CB,RS SO.,28,66,56,24,35,47,29,18,33,,
26,Dillon Thieneman,S,JR.,23,27,76,38,43,38,64,22,38,,
27,R Mason Thomas,ED,SR.,35,51,77,51,42,37,40,37,40,,
28,Chris Brazzell ,WR,RS JR.,46,37,38,64,47,75,56,15,53,,
29,Anthony Hill Jr.,LB,JR.,56,83,41,35,52,39,58,33,35,,
30,D'Angelo Ponds,CB,JR.,40,29,48,46,78,52,41,62,48,,
31,Chris Bell,WR,SR.,53,85,70,34,40,36,45,56,41,,
32,Chris Johnson,CB,SR.,38,63,54,69,29,55,33,73,45,,
33,Max Klare,TE,JR.,54,42,55,81,41,70,37,47,64,,
34,Jake Golday,LB,SR.,47,48,26,70,37,56,63,92,52,,
35,Zion Young,ED,SR.,39,38,110,58,45,45,95,45,43,,
36,Omar Cooper Jr.,WR,JR.,27,60,30,115,60,57,67,46,60,,
37,Keith Abney II,CB,JR.,59,95,47,57,–,35,24,66,47,,
38,Jadarian Price,RB,JR.,51,24,59,74,–,59,92,43,57,,
39,A.J. Haulcy,S,SR.,58,67,64,91,74,42,52,84,51,,
40,Germie Bernard,WR,SR.,45,111,80,67,50,41,78,65,49,,
41,Elijah Sarratt,WR,SR.,65,62,101,61,80,66,50,76,59,,
42,Gabe Jacas,ED,SR.,57,47,103,42,–,40,116,42,63,,
