id,rank,name,pos,school,tier,consensusRank,sourceCount,grade,isGenerational,fantasyMultiplier,draftScore,fantasyRank
1,1,Fernando Mendoza,QB,Indiana,1,2.8,10,8.1,true,1.6,12.96,1
2,2,Caleb Downs,S,Ohio State,1,3,10,7.9,true,0.35,2.77,24
3,3,Arvell Reese,LB,Ohio State,1,3.6,10,7.6,true,0.4,3.04,21
4,4,Jeremiyah Love,RB,Notre Dame,1,4.7,10,7.1,true,1.4,9.94,2
5,5,Rueben Bain,EDGE,Miami (FL),1,5.4,10,6.8,true,0.5,3.4,15
6,6,Carnell Tate,WR,Ohio State,1,7.5,10,6.2,true,1.4,8.68,3
7,7,Jordyn Tyson,WR,Arizona State,1,7.9,10,6.1,true,1.4,8.54,4
8,8,David Bailey,EDGE,Texas Tech,1,9.4,10,5.8,true,0.5,2.9,23
9,9,Peter Woods,DL,Clemson,1,9.9,10,5.7,true,0.35,2,36
10,10,Keldric Faulk,EDGE,Auburn,1,11,10,5.5,true,0.5,2.75,25
11,11,Jermod McCoy,CB,Tennessee,1,11.3,10,5.4,true,0.25,1.35,62
12,12,Mansoor Delane,CB,LSU,1,11.8,10,5.3,true,0.25,1.33,64
13,13,Makai Lemon,WR,USC,2,14,10,5,true,1.4,7,6
14,14,Sonny Styles,LB,Ohio State,2,14.9,10,4.9,true,0.4,1.96,38
15,15,Kenyon Sadiq,TE,Oregon,2,15.6,10,4.8,true,1.2,5.76,8
16,16,Avieon Terrell,CB,Clemson,2,17.2,9,4.6,true,0.25,1.15,76
17,17,Ty Simpson,QB,Alabama,2,18.5,9,4.5,true,1.6,7.2,5
18,18,Denzel Boston,WR,Washington,2,20,10,4.3,true,1.4,6.02,7
19,19,Kayden McDonald,DL,Ohio State,2,21.3,8,4.2,true,0.35,1.47,55
20,20,C.J. Allen,LB,Georgia,2,22.6,10,4.1,true,0.4,1.64,49
21,21,Kevin Concepcion,WR,Texas A&M,2,23.3,8,4.1,true,1.4,5.74,9
22,22,Cashius Howell,EDGE,Texas A&M,2,23.8,9,4,false,0.5,2,37
23,23,T.J. Parker,EDGE,Clemson,2,24.7,8,3.9,false,0.5,1.95,42
24,24,Caleb Banks,DL,Florida,2,25.3,6,3.9,true,0.35,1.37,61
25,25,Christen Miller,DL,Georgia,3,28,7,3.7,false,0.35,1.3,68
26,26,Colton Hood,CB,Tennessee,3,28.9,7,3.7,true,0.25,0.93,98
27,27,Brandon Cisse,CB,South Carolina,3,29.6,8,3.6,false,0.25,0.9,100
28,28,Chris Bell,WR,Louisville,3,33.1,8,3.4,false,1.4,4.76,10
29,29,R Mason Thomas,EDGE,Oklahoma,3,34.4,7,3.3,false,0.5,1.65,47
30,30,Akheem Mesidor,EDGE,Miami (FL),3,34.7,9,3.3,false,0.5,1.65,48
31,31,Anthony Hill Jr.,LB,Texas,3,34.8,8,3.3,false,0.4,1.32,65
32,32,Keith Abney II,CB,Arizona State,3,36.3,6,3.2,false,0.25,0.8,107
33,33,Chris Johnson,CB,San Diego State,3,40.8,6,3,false,0.25,0.75,109
34,34,Romello Height,EDGE,Texas Tech,3,43.2,7,2.9,false,0.5,1.45,56
35,35,L.T. Overton,EDGE,Alabama,3,43.6,7,2.9,false,0.5,1.45,57
36,36,Kamari Ramsey,S,USC,3,43.7,8,2.9,true,0.35,1.01,83
37,37,Dillon Thieneman,S,Oregon,3,44,7,2.9,true,0.35,1.01,84
38,38,Germie Bernard,WR,Alabama,3,45.1,8,2.8,false,1.4,3.92,11
39,39,Emmanuel McNeil-Warren,S,Toledo,3,45.2,7,2.8,false,0.35,0.98,86
40,40,Lee Hunter,DL,Texas Tech,3,45.9,3,2.8,false,0.35,0.98,87
41,41,Joshua Josephs,EDGE,Tennessee,3,47.4,7,2.7,false,0.5,1.35,63
42,42,Chris Brazzell,WR,Tennessee,3,47.7,6,2.7,false,1.4,3.78,12
43,43,D'angelo Ponds,CB,Indiana,3,49.6,7,2.6,false,0.25,0.65,116
44,44,Jake Golday,LB,Cincinnati,3,49.8,7,2.6,false,0.4,1.04,82
45,45,A.J. Haulcy,S,LSU,3,50.4,6,2.6,false,0.35,0.91,99
46,46,Max Klare,TE,Ohio State,3,51.4,7,2.6,true,1.2,3.12,18
47,47,Elijah Sarratt,WR,Indiana,3,51.5,6,2.6,false,1.4,3.64,13
48,48,Zion Young,EDGE,Missouri,3,52,8,2.5,false,0.5,1.25,73
49,49,Keionte Scott,S,Miami (FL),4,52.1,6,2.5,false,0.35,0.88,101
50,50,Ja'Kobi Lane,WR,USC,4,53.1,7,2.5,false,1.4,3.5,14
51,51,Gabe Jacas,EDGE,Illinois,4,53.6,6,2.5,false,0.5,1.25,74
52,52,Lee Hunter,DL,Texas Tech,4,54.5,4,2.5,false,0.35,0.88,102
53,53,Josiah Trotter,LB,Missouri,4,55.7,5,2.4,false,0.4,0.96,89
54,54,Deontae Lawson,LB,Alabama,4,56.1,6,2.4,false,0.4,0.96,90
55,55,Jaishawn Barham,EDGE,Michigan,4,56.9,2,2.4,false,0.5,1.2,75
56,56,Zachariah Branch,WR,Georgia,4,57,7,2.4,false,1.4,3.36,16
57,57,Omar Cooper Jr.,WR,Indiana,4,60,6,2.3,false,1.4,3.22,17
58,58,Domonique Orange,DL,Iowa State,4,60.5,7,2.3,false,0.35,0.81,106
59,59,Jadarian Price,RB,Notre Dame,4,61.6,8,2.2,true,1.4,3.08,19
60,60,Eli Stowers,TE,Vanderbilt,4,61.6,6,2.2,true,1.2,2.64,28
61,61,Jonah Coleman,RB,Washington,4,63.1,6,2.2,true,1.4,3.08,20
62,62,Taurean York,LB,Texas A&M,4,65.6,5,2.1,false,0.4,0.84,104
63,63,Julian Neal,CB,Arkansas,4,65.7,6,2.1,false,0.25,0.53,134
64,64,Antonio Williams,WR,Clemson,4,66.2,7,2.1,false,1.4,2.94,22
65,65,Chandler Rivers,CB,Duke,4,69.4,4,2,false,0.25,0.5,136
66,66,Dani Dennis-Sutton,EDGE,Penn State,4,69.7,7,2,false,0.5,1,85
67,67,Jamari Johnson,TE,Oregon,4,70,1,2,false,1.2,2.4,29
68,68,Malik Muhammad,CB,Texas,4,71.6,6,1.9,false,0.25,0.48,137
69,69,Darrell Jackson Jr.,DL,Florida State,4,72.6,7,1.9,false,0.35,0.66,115
70,70,Will Lee III,CB,Texas A&M,4,72.8,7,1.9,false,0.25,0.48,138
71,71,Derrick Moore,EDGE,Michigan,4,74.3,7,1.9,false,0.5,0.95,96
72,72,Anthony Lucas,EDGE,USC,4,74.8,6,1.9,false,0.5,0.95,97
73,73,Ahmad Moten Sr.,DL,Miami (FL),4,76,4,1.8,false,0.35,0.63,120
74,74,Dontay Corleone,DL,Cincinnati,4,76.1,6,1.8,false,0.35,0.63,121
75,75,Michael Trigg,TE,Baylor,4,77.5,6,1.8,false,1.2,2.16,35
76,76,Arion Carter,LB,Tennessee,4,78,1,1.8,false,0.4,0.72,110
77,77,Emmett Johnson,RB,Nebraska,4,80.4,5,1.7,false,1.4,2.38,31
78,78,Malachi Fields,WR,Notre Dame,4,81.9,7,1.7,false,1.4,2.38,32
79,79,Tyreak Sapp,EDGE,Florida,4,82.2,7,1.7,false,0.5,0.85,103
80,80,Garrett Nussmeier,QB,LSU,4,82.4,7,1.7,true,1.6,2.72,26
81,81,Carson Beck,QB,Miami (FL),4,82.4,6,1.7,false,1.6,2.72,27
82,82,Jalon Kilgore,CB,South Carolina,4,82.5,2,1.7,false,0.25,0.43,144
83,83,Genesis Smith,S,Arizona,4,83.4,6,1.7,false,0.35,0.6,122
84,84,Daylen Everette,CB,Georgia,4,85.2,5,1.6,false,0.25,0.4,153
85,85,Harold Perkins,LB,LSU,4,85.3,7,1.6,false,0.4,0.64,117
86,86,Michael Taaffe,S,Texas,4,85.5,4,1.6,false,0.35,0.56,129
87,87,Deion Burks,WR,Oklahoma,4,85.8,6,1.6,false,1.4,2.24,33
88,88,Clay Patterson,DL,Stanford,4,86,1,1.6,false,0.35,0.56,130
89,89,Jaishawn Barham,LB,Michigan,4,86.1,5,1.6,false,0.4,0.64,118
90,90,Davison Igbinosun,CB,Ohio State,4,86.1,6,1.6,false,0.25,0.4,154
